State,Year,Incidence,Mortality,Population
1055,Vermont,2018,3622,1051,623786
1056,Vermont,2019,3686,1019,623417
1057,Vermont,2020,3443,1031,642751
1058,Vermont,2021,3652,1060,646916
1059,Virginia,1999,26665,11493,0
1060,Virginia,2000,27539,11743,7105817
1061,Virginia,2001,26892,11564,7198362
1062,Virginia,2002,28246,11787,7286873
1063,Virginia,2003,30123,11991,7366977
1064,Virginia,2004,30698,11610,7475575
1065,Virginia,2005,31871,12103,7577105
1066,Virginia,2006,32505,12015,7673725
1067,Virginia,2007,34437,12206,7751000
1068,Virginia,2008,34397,12155,7833496
1069,Virginia,2009,34874,12297,7925937
1070,Virginia,2010,33611,12225,8001024
1071,Virginia,2011,34415,12399,7988574
1072,Virginia,2012,34069,12334,8074556
1073,Virginia,2013,35616,12430,8137931
1074,Virginia,2014,36229,12647,8197056
1075,Virginia,2015,36519,12847,8251044
1076,Virginia,2016,37703,12873,8292250
1077,Virginia,2017,37879,13019,8350328
1078,Virginia,2018,38558,13091,8386044
1079,Virginia,2019,40725,12935,8420244
1080,Virginia,2020,37350,13259,8536088
1081,Virginia,2021,38606,13342,8555582
1082,Washington,1999,26109,9398,0
1083,Washington,2000,26030,9495,5910512
1084,Washington,2001,26799,9634,5985722
1085,Washington,2002,26936,9650,6052349
1086,Washington,2003,27151,9824,6104115
1087,Washington,2004,27819,9768,6178645
1088,Washington,2005,28413,9696,6257305
1089,Washington,2006,28908,9758,6370753
1090,Washington,2007,28564,10205,6461587
1091,Washington,2008,30258,10219,6562231
1092,Washington,2009,31125,10465,6667426
1093,Washington,2010,31331,10449,6724540
1094,Washington,2011,31952,10530,6774642
1095,Washington,2012,31738,10337,6850554
1096,Washington,2013,31963,10366,6911691
1097,Washington,2014,32433,10604,7001731
1098,Washington,2015,32618,10923,7109697
1099,Washington,2016,34134,10768,7240197
1100,Washington,2017,34554,10892,7370914
1101,Washington,2018,35240,11004,7471678
1102,Washington,2019,36458,11067,7562699
1103,Washington,2020,33612,10869,7674936
1104,Washington,2021,37114,11533,7690805
1105,Washington DC,1999,2637,1022,0
1106,Washington DC,2000,2604,972,0
1107,Washington DC,2001,2579,1014,0
1108,Washington DC,2002,2563,1010,0
1109,Washington DC,2003,2679,799,0
1110,Washington DC,2004,2352,805,0
1111,Washington DC,2005,2402,812,0
1112,Washington DC,2006,2457,892,0
1113,Washington DC,2007,2619,834,0
1114,Washington DC,2008,2486,777,0
1115,Washington DC,2009,2571,817,0
1116,Washington DC,2010,2654,703,0
1117,Washington DC,2011,2801,723,0
1118,Washington DC,2012,2729,771,0
1119,Washington DC,2013,2511,726,0
1120,Washington DC,2014,2542,758,0
1121,Washington DC,2015,2392,707,0
1122,Washington DC,2016,2429,703,0
1123,Washington DC,2017,2617,708,0
1124,Washington DC,2018,2605,770,0
1125,Washington DC,2019,2575,665,0
1126,Washington DC,2020,2309,669,0
1127,Washington DC,2021,2544,696,0
1128,West Virginia,1999,9794,4074,0
1129,West Virginia,2000,9832,4108,1807021
1130,West Virginia,2001,10143,4035,1801481
1131,West Virginia,2002,9895,3990,1805414
1132,West Virginia,2003,9679,3993,1812295
1133,West Virginia,2004,9921,4039,1816438
1134,West Virginia,2005,10206,3934,1820492
1135,West Virginia,2006,10381,3922,1827912
1136,West Virginia,2007,10693,3979,1834052
1137,West Virginia,2008,10429,3937,1840310
1138,West Virginia,2009,10459,4147,1847775
1139,West Virginia,2010,10350,3956,1852994
1140,West Virginia,2011,10789,4064,1854462
1141,West Virginia,2012,10573,4003,1855333
1142,West Virginia,2013,10744,4060,1852607
1143,West Virginia,2014,10646,4196,1848227
1144,West Virginia,2015,10930,4116,1841036
1145,West Virginia,2016,10975,4023,1830016
1146,West Virginia,2017,11394,3930,1815995
1147,West Virginia,2018,11465,3977,1803320
1148,West Virginia,2019,11301,3935,1791176
1149,West Virginia,2020,10440,3994,1791396
1150,West Virginia,2021,11451,4067,1785077
1151,Wisconsin,1999,24786,9247,0
1152,Wisconsin,2000,24678,9201,5373999
1153,Wisconsin,2001,25447,9326,5406835
1154,Wisconsin,2002,24785,9333,5445162
1155,Wisconsin,2003,25016,9257,5479203
1156,Wisconsin,2004,25051,9507,5514026
1157,Wisconsin,2005,25348,9467,5546166
1158,Wisconsin,2006,26220,9475,5577655
1159,Wisconsin,2007,26840,9448,5610775
1160,Wisconsin,2008,27326,9686,5640996
1161,Wisconsin,2009,27502,9422,5669264
1162,Wisconsin,2010,27782,9795,5686986
1163,Wisconsin,2011,28809,10033,5701442
1164,Wisconsin,2012,28362,9707,5716597
1165,Wisconsin,2013,28787,9856,5733494
1166,Wisconsin,2014,29457,9775,5748333
1167,Wisconsin,2015,30097,9753,5757970
1168,Wisconsin,2016,30791,9797,5769613
1169,Wisconsin,2017,31144,9646,5787115
1170,Wisconsin,2018,31448,9740,5804404
1171,Wisconsin,2019,32905,9756,5819432
1172,Wisconsin,2020,30087,9837,5895100
1173,Wisconsin,2021,33092,9569,5878269
1174,Wyoming,1999,1936,600,0
1175,Wyoming,2000,1975,545,494300
1176,Wyoming,2001,1905,613,494657
1177,Wyoming,2002,1948,585,500017
1178,Wyoming,2003,2065,640,503453
1179,Wyoming,2004,2113,618,509106
1180,Wyoming,2005,2003,635,514157
1181,Wyoming,2006,2202,625,522667
1182,Wyoming,2007,2157,677,534876
1183,Wyoming,2008,2192,585,546043
1184,Wyoming,2009,2234,664,559851
1185,Wyoming,2010,2361,716,563626
1186,Wyoming,2011,2378,610,564078
1187,Wyoming,2012,2204,647,573164
1188,Wyoming,2013,2187,678,578753
1189,Wyoming,2014,2331,668,579471
1190,Wyoming,2015,2318,676,582623
1191,Wyoming,2016,2456,670,581104
1192,Wyoming,2017,2515,655,575818
1193,Wyoming,2018,2533,725,574509
1194,Wyoming,2019,2728,763,575665
1195,Wyoming,2020,2534,740,574772
1196,Wyoming,2021,2580,818,576672
